id,name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,preview_url,isrc,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features_fetched_at,created_at,updated_at,deezer_track_id,apple_track_id,mb_recording_mbid,gain,genre_primary,genre_tags,derived_valence,derived_energy,last_enriched_at,meta_provider,bpm,artist_name,album_image_url
40mjsnRjCpycdUw3xhS20g,GATTI,,JACKBOYS,,181144,,true,,USSM11915307,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,,,,,,,,,,,143.060,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,841897112,,,-9.2,Rap/Hip Hop,"[""drill"",""rap"",""hip-hop"",""trap"",""east coast hip hop"",""new york"",""ny drill"",""brooklyn"",""Rap/Hip Hop""]",0.55,0.65,2025-09-09 22:27:31.53+00,"{""spotify_track"": true}",143.06,"JACKBOYS, Pop Smoke, Travis Scott",https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f
43FiKNMmSDaI7V1U8i5CZI,Won't Stop (Don't),,Won't Stop (Don't),,233306,,false,,UKU932483278,https://i.scdn.co/image/ab67616d0000b2732bbab7d9b8c455e6c418d2b5,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3028778451,,,-9.5,Electro,"[""deep house"",""house"",""techno"",""electronic"",""tech house"",""dutch"",""chill house"",""Electro"",""Dance""]",0.4,0.75,2025-09-07 19:41:51.908+00,"{""spotify_track"": true}",0,Chris Stussy,https://i.scdn.co/image/ab67616d0000b2732bbab7d9b8c455e6c418d2b5
4CBjxkRcl9ZF9zCcPF8nUI,oh you,,oh you,,170666,,false,,QZWFU2552121,https://i.scdn.co/image/ab67616d0000b27331e4cbd4cf4216acd7a52323,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3498486441,,,-8,Electro,"[""Electro"",""Dance""]",,,2025-09-07 19:42:02.11+00,"{""spotify_track"": true}",0,notdavid,https://i.scdn.co/image/ab67616d0000b27331e4cbd4cf4216acd7a52323
4dBT9YgndxaNS0Fp1PSHZ0,Blessings - KETTAMA Remix,,Blessings (KETTAMA Remix),,277806,,false,,GBARL2500993,https://i.scdn.co/image/ab67616d0000b27330c22c1f5b4518e7c795974e,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3445246391,,,-8.5,Dance,"[""electronic"",""dance"",""electro"",""disco"",""electronica"",""house"",""scottish"",""electropop"",""Dance""]",0.7,0.667,2025-09-07 19:42:02.405+00,"{""spotify_track"": true}",0,"Calvin Harris, Clementine Douglas, KETTAMA",https://i.scdn.co/image/ab67616d0000b27330c22c1f5b4518e7c795974e
4GdTGFtRYvOLCWG7FQq8is,Everything - DJ Nobu Remix,,Unspoken Words Remixes I,,352300,,false,,DGA082296659,https://i.scdn.co/image/ab67616d0000b2739adc9ce360aa92ffd5d6eb2f,,,,,,,,,,,0.000,,,2025-09-12 18:32:36.299244+00,2025-09-12 18:32:36.299244+00,2087491927,,,-13.5,Electro,"[""minimal"",""minimal techno"",""techno"",""electronic"",""tech house"",""idm"",""neotrance"",""max cooper"",""Electro""]",0.4,0.8,2025-09-12 19:58:27.88+00,"{""spotify_track"": true}",0,"Max Cooper, DJ Nobu",https://i.scdn.co/image/ab67616d0000b2739adc9ce360aa92ffd5d6eb2f
4JbKkoQQ8mCG45KpwEzPk7,Lie To Me,,Lie To Me,,169639,,false,,GBEFR2309231,https://i.scdn.co/image/ab67616d0000b27336780601bb0315cf2dc2c511,,,,,,,,,,,0.000,,,2025-09-08 20:44:04.208472+00,2025-09-08 20:44:04.208472+00,2856834792,,,-7.7,Electro,"[""Electro"",""Techno/House"",""Dance""]",,,2025-09-08 23:30:23.506+00,"{""spotify_track"": true}",0,Van Damn,https://i.scdn.co/image/ab67616d0000b27336780601bb0315cf2dc2c511
4lq48b16GxnFcPHUHJ3FK8,Step By Step,,Step By Step,,179779,,false,,US38Y2435157,https://i.scdn.co/image/ab67616d0000b273250a856909c388fcf4d99f3d,,,,,,,,,,,0.000,,,2025-09-12 18:32:36.299244+00,2025-09-12 18:32:36.299244+00,3149420361,,,-10.3,Electro,"[""house"",""dutch"",""deep house"",""Electro"",""Dance""]",,0.7,2025-09-12 19:58:26.859+00,"{""spotify_track"": true}",0,Marsolo,https://i.scdn.co/image/ab67616d0000b273250a856909c388fcf4d99f3d
4MyREnmB1D6ODsvsGiyKHV,Hopecore,,Hopecore,,180219,,false,,GBCFB2401258,https://i.scdn.co/image/ab67616d0000b2738c44d5c8dee809d823ea2123,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,3041744371,,,-7,Electro,"[""house"",""electronic"",""outsider house"",""deep house"",""lo-fi house"",""techno"",""sweden"",""breakbeat"",""Electro""]",0.4,0.75,2025-09-09 22:27:35.288+00,"{""spotify_track"": true}",0,DJ Seinfeld,https://i.scdn.co/image/ab67616d0000b2738c44d5c8dee809d823ea2123
4N7VN1PqjJnTpeHHDqRgwg,Not Fair,,Not Fair,,169398,,false,,NLF712503100,https://i.scdn.co/image/ab67616d0000b2731f2a8f0a559a1321a1cabed1,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3354523511,,,-7.3,Dance,"[""techno"",""rave"",""Dance"",""Trance""]",0.4,0.85,2025-09-07 19:41:57.573+00,"{""spotify_track"": true}",0,"Janis Zielinski, sowhy3",https://i.scdn.co/image/ab67616d0000b2731f2a8f0a559a1321a1cabed1
4tqdsD2enJyRsXr6ZTbuib,Needed Me,,Needed Me,,290277,,false,,DECE72501750,https://i.scdn.co/image/ab67616d0000b2733c83f2d96b71b1786f5ea02e,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3401797391,,,-6.4,Electro,"[""Electro""]",,,2025-09-07 19:41:49.473+00,"{""spotify_track"": true}",0,KELLAR,https://i.scdn.co/image/ab67616d0000b2733c83f2d96b71b1786f5ea02e
